Month,US.Prod
Mar-90,627.66
Apr-90,627.66
May-90,627.66
Jun-90,627.66
Jul-90,627.66
Aug-90,661.17
Sep-90,661.17
Oct-90,661.17
Nov-90,661.17
Dec-90,661.17
Jan-91,661.17
Feb-91,661.17
Mar-91,661.17
Apr-91,661.17
May-91,661.17
Jun-91,661.17
Jul-91,661.17
Aug-91,622.9
Sep-91,622.9
Oct-91,622.9
Nov-91,622.9
Dec-91,622.9
Jan-92,622.9
Feb-92,622.9
Mar-92,622.9
Apr-92,622.9
May-92,622.9
Jun-92,622.9
Jul-92,622.9
Aug-92,789.72
Sep-92,789.72
Oct-92,789.72
Nov-92,789.72
Dec-92,789.72
Jan-93,789.72
Feb-93,789.72
Mar-93,789.72
Apr-93,789.72
May-93,789.72
Jun-93,789.72
Jul-93,789.72
Aug-93,528.14
Sep-93,528.14
Oct-93,528.14
Nov-93,528.14
Dec-93,528.14
Jan-94,528.14
Feb-94,528.14
Mar-94,528.14
Apr-94,528.14
May-94,528.14
Jun-94,528.14
Jul-94,528.14
Aug-94,837.54
Sep-94,837.54
Oct-94,837.54
Nov-94,837.54
Dec-94,837.54
Jan-95,837.54
Feb-95,837.54
Mar-95,837.54
Apr-95,837.54
May-95,837.54
Jun-95,837.54
Jul-95,837.54
Aug-95,616.67
Sep-95,616.67
Oct-95,616.67
Nov-95,616.67
Dec-95,616.67
Jan-96,616.67
Feb-96,616.67
Mar-96,616.67
Apr-96,616.67
May-96,616.67
Jun-96,616.67
Jul-96,616.67
Aug-96,769.38
Sep-96,769.38
Oct-96,769.38
Nov-96,769.38
Dec-96,769.38
Jan-97,769.38
Feb-97,769.38
Mar-97,769.38
Apr-97,769.38
May-97,769.38
Jun-97,769.38
Jul-97,769.38
Aug-97,767.24
Sep-97,767.24
Oct-97,767.24
Nov-97,767.24
Dec-97,767.24
Jan-98,767.24
Feb-98,767.24
Mar-98,767.24
Apr-98,767.24
May-98,767.24
Jun-98,767.24
Jul-98,767.24
Aug-98,813.22
Sep-98,813.22
Oct-98,813.22
Nov-98,813.22
Dec-98,813.22
Jan-99,813.22
Feb-99,813.22
Mar-99,813.22
Apr-99,813.22
May-99,813.22
Jun-99,813.22
Jul-99,813.22
Aug-99,785.88
Sep-99,785.88
Oct-99,785.88
Nov-99,785.88
Dec-99,785.88
Jan-00,785.88
Feb-00,785.88
Mar-00,785.88
Apr-00,785.88
May-00,785.88
Jun-00,785.88
Jul-00,785.88
Aug-00,826.25
Sep-00,826.25
Oct-00,826.25
Nov-00,826.25
Dec-00,826.25
1-Jan,826.25
1-Feb,826.25
1-Mar,826.25
1-Apr,826.25
1-May,826.25
1-Jun,826.25
1-Jul,826.25
1-Aug,791.88
1-Sep,791.88
1-Oct,791.88
1-Nov,791.88
1-Dec,791.88
2-Jan,791.88
2-Feb,791.88
2-Mar,791.88
2-Apr,791.88
2-May,791.88
2-Jun,791.88
2-Jul,791.88
2-Aug,747.23
2-Sep,747.23
2-Oct,747.23
2-Nov,747.23
2-Dec,747.23
3-Jan,747.23
3-Feb,747.23
3-Mar,747.23
3-Apr,747.23
3-May,747.23
3-Jun,747.23
3-Jul,747.23
3-Aug,840.61
3-Sep,840.61
3-Oct,840.61
3-Nov,840.61
3-Dec,840.61
4-Jan,840.61
4-Feb,840.61
4-Mar,840.61
4-Apr,840.61
4-May,840.61
4-Jun,840.61
4-Jul,840.61
4-Aug,983.8
4-Sep,983.8
4-Oct,983.8
4-Nov,983.8
4-Dec,983.8
5-Jan,983.8
5-Feb,983.8
5-Mar,983.8
5-Apr,983.8
5-May,983.8
5-Jun,983.8
5-Jul,983.8
5-Aug,926.02
5-Sep,926.02
5-Oct,926.02
5-Nov,926.02
5-Dec,926.02
6-Jan,926.02
6-Feb,926.02
6-Mar,926.02
6-Apr,926.02
6-May,926.02
6-Jun,926.02
6-Jul,926.02
6-Aug,877.59
6-Sep,877.59
6-Oct,877.59
6-Nov,877.59
6-Dec,877.59
7-Jan,877.59
7-Feb,877.59
7-Mar,877.59
7-Apr,877.59
7-May,877.59
7-Jun,877.59
7-Jul,877.59
7-Aug,1086.49
7-Sep,1086.49
7-Oct,1086.49
7-Nov,1086.49
7-Dec,1086.49
8-Jan,1086.49
8-Feb,1086.49
8-Mar,1086.49
8-Apr,1086.49
8-May,1086.49
8-Jun,1086.49
8-Jul,1086.49
8-Aug,1003.6
8-Sep,1003.6
8-Oct,1003.6
8-Nov,1003.6
8-Dec,1003.6
9-Jan,1003.6
9-Feb,1003.6
9-Mar,1003.6
9-Apr,1003.6
9-May,1003.6
9-Jun,1003.6
9-Jul,1003.6
9-Aug,1088.93
9-Sep,1088.93
9-Oct,1088.93
9-Nov,1088.93
9-Dec,1088.93
10-Jan,1088.93
10-Feb,1088.93
10-Mar,1088.93
10-Apr,1088.93
10-May,1088.93
10-Jun,1088.93
10-Jul,1088.93
10-Aug,1035.44
10-Sep,1035.44
10-Oct,1035.44
10-Nov,1035.44
10-Dec,1035.44
11-Jan,1035.44
11-Feb,1035.44
11-Mar,1035.44
11-Apr,1035.44
11-May,1035.44
11-Jun,1035.44
11-Jul,1035.44
11-Aug,1026.16
11-Sep,1026.16
11-Oct,1026.16
11-Nov,1026.16
11-Dec,1026.16
12-Jan,1026.16
12-Feb,1026.16
12-Mar,1026.16
12-Apr,1026.16
12-May,1026.16
12-Jun,1026.16
12-Jul,1026.16
12-Aug,896.26
12-Sep,896.26
12-Oct,896.26
12-Nov,896.26
12-Dec,896.26
13-Jan,896.26
13-Feb,896.26
13-Mar,896.26
13-Apr,896.26
13-May,896.26
13-Jun,896.26
13-Jul,896.26
13-Aug,1152.56
13-Sep,1152.56
13-Oct,1152.56
13-Nov,1152.56
13-Dec,1152.56
14-Jan,1152.56
14-Feb,1152.56
14-Mar,1152.56
14-Apr,1152.56
14-May,1152.56
14-Jun,1152.56
14-Jul,1152.56
14-Aug,1184.77
14-Sep,1184.77
14-Oct,1184.77
14-Nov,1184.77
14-Dec,1184.77
15-Jan,1184.77
15-Feb,1184.77
15-Mar,1184.77
15-Apr,1184.77
15-May,1184.77
15-Jun,1184.77
15-Jul,1184.77
15-Aug,1133.5
15-Sep,1133.5
15-Oct,1133.5
15-Nov,1133.5
15-Dec,1133.5
16-Jan,1133.5
16-Feb,1133.5
16-Mar,1133.5
16-Apr,1133.5
16-May,1133.5
16-Jun,1133.5
16-Jul,1133.5
16-Aug,1262.34
16-Sep,1262.34
16-Oct,1262.34
16-Nov,1262.34
16-Dec,1262.34
17-Jan,1262.34
17-Feb,1262.34
17-Mar,1262.34
17-Apr,1262.34
17-May,1262.34
17-Jun,1262.34
17-Jul,1262.34
17-Aug,1217.45
17-Sep,1217.45
17-Oct,1217.45
17-Nov,1217.45
17-Dec,1217.45
18-Jan,1217.45
18-Feb,1217.45
18-Mar,1217.45
18-Apr,1217.45
18-May,1217.45
18-Jun,1217.45
18-Jul,1217.45
18-Aug,1195.03
18-Sep,1195.03
18-Oct,1195.03
18-Nov,1195.03
18-Dec,1195.03
19-Jan,1195.03
19-Feb,1195.03
19-Mar,1195.03
19-Apr,1195.03
19-May,1195.03
19-Jun,1195.03
19-Jul,1195.03
19-Aug,1140.96
19-Sep,1140.96
19-Oct,1140.96
19-Nov,1140.96
19-Dec,1140.96
20-Jan,1140.96
20-Feb,1140.96
20-Mar,1140.96