Month,Price,Change
Mar-90,1.11,-
Apr-90,1.08,-2.70%
May-90,1.08,0.00%
Jun-90,1.11,2.78%
Jul-90,1.1,-0.90%
Aug-90,1.1,0.00%
Sep-90,1.09,-0.91%
Oct-90,1.07,-1.83%
Nov-90,1.07,0.00%
Dec-90,1.05,-1.87%
Jan-91,1.05,0.00%
Feb-91,1.08,2.86%
Mar-91,1.07,-0.93%
Apr-91,1.06,-0.93%
May-91,1.06,0.00%
Jun-91,1.05,-0.94%
Jul-91,1.07,1.90%
Aug-91,1.05,-1.87%
Sep-91,1.05,0.00%
Oct-91,1.06,0.95%
Nov-91,1.04,-1.89%
Dec-91,1.04,0.00%
Jan-92,1.05,0.96%
Feb-92,1.03,-1.90%
Mar-92,1.04,0.97%
Apr-92,1.04,0.00%
May-92,1.04,0.00%
Jun-92,1.05,0.96%
Jul-92,1.06,0.95%
Aug-92,1.08,1.89%
Sep-92,1.08,0.00%
Oct-92,1.06,-1.85%
Nov-92,1.09,2.83%
Dec-92,1.09,0.00%
Jan-93,1.11,1.83%
Feb-93,1.13,1.80%
Mar-93,1.15,1.77%
Apr-93,1.18,2.61%
May-93,1.24,5.08%
Jun-93,1.23,-0.81%
Jul-93,1.25,1.63%
Aug-93,1.28,2.40%
Sep-93,1.27,-0.78%
Oct-93,1.23,-3.15%
Nov-93,1.21,-1.63%
Dec-93,1.18,-2.48%
Jan-94,1.16,-1.69%
Feb-94,1.18,1.72%
Mar-94,1.22,3.39%
Apr-94,1.23,0.82%
May-94,1.3,5.69%
Jun-94,1.31,0.77%
Jul-94,1.28,-2.29%
Aug-94,1.23,-3.91%
Sep-94,1.24,0.81%
Oct-94,1.2,-3.23%
Nov-94,1.14,-5.00%
Dec-94,1.13,-0.88%
Jan-95,1.13,0.00%
Feb-95,1.13,0.00%
Mar-95,1.14,0.88%
Apr-95,1.13,-0.88%
May-95,1.15,1.77%
Jun-95,1.19,3.48%
Jul-95,1.24,4.20%
Aug-95,1.31,5.65%
Sep-95,1.34,2.29%
Oct-95,1.29,-3.73%
Nov-95,1.32,2.33%
Dec-95,1.29,-2.27%
Jan-96,1.29,0.00%
Feb-96,1.25,-3.10%
Mar-96,1.22,-2.40%
Apr-96,1.24,1.64%
May-96,1.33,7.26%
Jun-96,1.43,7.52%
Jul-96,1.46,2.10%
Aug-96,1.47,0.68%
Sep-96,1.47,0.00%
Oct-96,1.45,-1.36%
Nov-96,1.45,0.00%
Dec-96,1.44,-0.69%
Jan-97,1.42,-1.39%
Feb-97,1.38,-2.82%
Mar-97,1.36,-1.45%
Apr-97,1.35,-0.74%
May-97,1.34,-0.74%
Jun-97,1.34,0.00%
Jul-97,1.35,0.75%
Aug-97,1.38,2.22%
Sep-97,1.39,0.72%
Oct-97,1.31,-5.76%
Nov-97,1.27,-3.05%
Dec-97,1.23,-3.15%
Jan-98,1.22,-0.81%
Feb-98,1.23,0.82%
Mar-98,1.25,1.63%
Apr-98,1.27,1.60%
May-98,1.3,2.36%
Jun-98,1.38,6.15%
Jul-98,1.48,7.25%
Aug-98,1.56,5.41%
Sep-98,1.57,0.64%
Oct-98,1.52,-3.18%
Nov-98,1.48,-2.63%
Dec-98,1.43,-3.38%
Jan-99,1.39,-2.80%
Feb-99,1.35,-2.88%
Mar-99,1.3,-3.70%
Apr-99,1.27,-2.31%
May-99,1.31,3.15%
Jun-99,1.34,2.29%
Jul-99,1.35,0.75%
Aug-99,1.33,-1.48%
Sep-99,1.34,0.75%
Oct-99,1.29,-3.73%
Nov-99,1.29,0.00%
Dec-99,1.29,0.00%
Jan-00,1.28,-0.78%
Feb-00,1.27,-0.78%
Mar-00,1.26,-0.79%
Apr-00,1.26,0.00%
May-00,1.27,0.79%
Jun-00,1.3,2.36%
Jul-00,1.32,1.54%
Aug-00,1.33,0.76%
Sep-00,1.36,2.26%
Oct-00,1.36,0.00%
Nov-00,1.36,0.00%
Dec-00,1.36,0.00%
Jan-01,1.36,0.00%
Feb-01,1.36,0.00%
Mar-01,1.37,0.74%
Apr-01,1.37,0.00%
May-01,1.39,1.46%
Jun-01,1.4,0.72%
Jul-01,1.42,1.43%
Aug-01,1.45,2.11%
Sep-01,1.47,1.38%
Oct-01,1.45,-1.36%
Nov-01,1.42,-2.07%
Dec-01,1.39,-2.11%
Jan-02,1.39,0.00%
Feb-02,1.39,0.00%
Mar-02,1.38,-0.72%
Apr-02,1.38,0.00%
May-02,1.4,1.45%
Jun-02,1.41,0.71%
Jul-02,1.42,0.71%
Aug-02,1.41,-0.70%
Sep-02,1.41,0.00%
Oct-02,1.39,-1.42%
Nov-02,1.36,-2.16%
Dec-02,1.36,0.00%
Jan-03,1.37,0.74%
Feb-03,1.39,1.46%
Mar-03,1.41,1.44%
Apr-03,1.4,-0.71%
May-03,1.42,1.43%
Jun-03,1.45,2.11%
Jul-03,1.49,2.76%
Aug-03,1.51,1.34%
Sep-03,1.53,1.32%
Oct-03,1.51,-1.31%
Nov-03,1.51,0.00%
Dec-03,1.52,0.66%
Jan-04,1.53,0.66%
Feb-04,1.58,3.27%
Mar-04,1.61,1.90%
Apr-04,1.65,2.48%
May-04,1.69,2.42%
Jun-04,1.76,4.14%
Jul-04,1.78,1.14%
Aug-04,1.77,-0.56%
Sep-04,1.72,-2.82%
Oct-04,1.68,-2.33%
Nov-04,1.65,-1.79%
Dec-04,1.62,-1.82%
Jan-05,1.62,0.00%
Feb-05,1.63,0.62%
Mar-05,1.63,0.00%
Apr-05,1.63,0.00%
May-05,1.64,0.61%
Jun-05,1.64,0.00%
Jul-05,1.65,0.61%
Aug-05,1.65,0.00%
Sep-05,1.66,0.61%
Oct-05,1.64,-1.20%
Nov-05,1.6,-2.44%
Dec-05,1.57,-1.87%
Jan-06,1.54,-1.91%
Feb-06,1.53,-0.65%
Mar-06,1.51,-1.31%
Apr-06,1.49,-1.32%
May-06,1.5,0.67%
Jun-06,1.52,1.33%
Jul-06,1.54,1.32%
Aug-06,1.55,0.65%
Sep-06,1.56,0.65%
Oct-06,1.54,-1.28%
Nov-06,1.52,-1.30%
Dec-06,1.53,0.66%
Jan-07,1.57,2.61%
Feb-07,1.63,3.82%
Mar-07,1.68,3.07%
Apr-07,1.72,2.38%
May-07,1.75,1.74%
Jun-07,1.78,1.71%
Jul-07,1.79,0.56%
Aug-07,1.79,0.00%
Sep-07,1.8,0.56%
Oct-07,1.76,-2.22%
Nov-07,1.71,-2.84%
Dec-07,1.69,-1.17%
Jan-08,1.7,0.59%
Feb-08,1.74,2.35%
Mar-08,1.79,2.87%
Apr-08,1.81,1.12%
May-08,1.84,1.66%
Jun-08,1.89,2.72%
Jul-08,1.95,3.17%
Aug-08,1.95,0.00%
Sep-08,1.95,0.00%
Oct-08,1.93,-1.03%
Nov-08,1.92,-0.52%
Dec-08,1.92,0.00%
Jan-09,1.92,0.00%
Feb-09,1.91,-0.52%
Mar-09,1.89,-1.05%
Apr-09,1.88,-0.53%
May-09,1.92,2.13%
Jun-09,1.94,1.04%
Jul-09,1.95,0.52%
Aug-09,1.91,-2.05%
Sep-09,1.87,-2.09%
Oct-09,1.83,-2.14%
Nov-09,1.81,-1.09%
Dec-09,1.81,0.00%
Jan-10,1.83,1.10%
Feb-10,1.84,0.55%
Mar-10,1.85,0.54%
Apr-10,1.88,1.62%
May-10,1.91,1.60%
Jun-10,1.92,0.52%
Jul-10,1.94,1.04%
Aug-10,1.94,0.00%
Sep-10,1.93,-0.52%
Oct-10,1.91,-1.04%
Nov-10,1.88,-1.57%
Dec-10,1.88,0.00%
Jan-11,1.87,-0.53%
Feb-11,1.88,0.53%
Mar-11,1.9,1.06%
Apr-11,1.9,0.00%
May-11,1.91,0.53%
Jun-11,1.92,0.52%
Jul-11,1.93,0.52%
Aug-11,1.94,0.52%
Sep-11,1.96,1.03%
Oct-11,1.96,0.00%
Nov-11,1.97,0.51%
Dec-11,1.98,0.51%
Jan-12,1.99,0.51%
Feb-12,2.01,1.01%
Mar-12,2.05,1.99%
Apr-12,2.06,0.49%
May-12,2.07,0.49%
Jun-12,2.08,0.48%
Jul-12,2.09,0.48%
Aug-12,2.09,0.00%
Sep-12,2.11,0.96%
Oct-12,2.11,0.00%
Nov-12,2.13,0.95%
Dec-12,2.15,0.94%
Jan-13,2.22,3.26%
Feb-13,2.19,-1.35%
Mar-13,2.31,5.48%
Apr-13,2.29,-0.87%
May-13,2.38,3.93%
Jun-13,2.4,0.84%
Jul-13,2.22,-7.50%
Aug-13,2.04,-8.11%
Sep-13,1.98,-2.94%
Oct-13,1.96,-1.01%
Nov-13,2.03,3.57%
Dec-13,2.07,1.97%
Jan-14,2.11,1.93%
Feb-14,2.02,-4.27%
Mar-14,2.26,11.88%
Apr-14,2.38,5.31%
May-14,2.56,7.56%
Jun-14,2.55,-0.39%
Jul-14,2.45,-3.92%
Aug-14,2.27,-7.35%
Sep-14,2.36,3.96%
Oct-14,2.36,0.00%
Nov-14,2.31,-2.12%
Dec-14,2.22,-3.90%
Jan-15,2.22,0.00%
Feb-15,2.03,-8.56%
Mar-15,2.15,5.91%
Apr-15,2.31,7.23%
May-15,2.35,1.93%
Jun-15,2.28,-2.98%
Jul-15,2.07,-9.21%
Aug-15,1.82,-12.08%
Sep-15,1.69,-7.14%
Oct-15,1.61,-4.73%
Nov-15,1.62,0.62%
Dec-15,1.74,7.41%
Jan-16,1.85,6.32%
Feb-16,1.77,-4.32%
Mar-16,1.85,4.52%
Apr-16,1.93,4.32%
May-16,2.06,6.74%
Jun-16,2.15,4.37%
Jul-16,1.96,-8.84%
Aug-16,1.74,-11.22%
Sep-16,1.7,-2.30%
Oct-16,1.59,-6.47%
Nov-16,1.76,10.69%
Dec-16,1.86,5.68%
Jan-17,1.94,4.30%
Feb-17,1.94,0.00%
Mar-17,2.13,9.79%
Apr-17,2.16,1.41%
May-17,2.33,7.87%
Jun-17,2.43,4.29%
Jul-17,2.35,-3.29%
Aug-17,2.19,-6.81%
Sep-17,2.11,-3.65%
Oct-17,1.98,-6.16%
Nov-17,1.96,-1.01%
Dec-17,1.97,0.51%
Jan-18,2.07,5.08%
Feb-18,1.98,-4.35%
Mar-18,2.2,11.11%
Apr-18,2.36,7.27%
May-18,2.65,12.29%
Jun-18,2.72,2.64%
Jul-18,2.53,-6.99%
Aug-18,2.22,-12.25%
Sep-18,2.03,-8.56%
Oct-18,2.03,0.00%
Nov-18,2.03,0.00%
Dec-18,2.09,2.96%
Jan-19,2.15,2.87%
Feb-19,2.09,-2.79%
Mar-19,2.07,-0.96%
Apr-19,2.09,0.97%
May-19,2.09,0.00%
Jun-19,2.07,-0.96%
Jul-19,1.99,-3.86%
Aug-19,1.9,-4.52%
Sep-19,1.85,-2.63%
Oct-19,1.85,0.00%
Nov-19,1.85,0.00%
Dec-19,1.98,7.03%
Jan-20,2.07,4.55%
Feb-20,1.88,-9.18%
Mar-20,1.8,-4.26%